Period Start,Period End,Beginning Inventory,Shipment,Transfer In,Transfer Out,RTV,Sales,Ending Inventory,Store,Period_Days,Calculated_Ending,Inventory_Discrepancy,Shrinkage_Rate,Year,Month,Quarter,Week_of_Year,Store_Category,High_Shrinkage_Flag,Large_Discrepancy_Flag,Zero_Sales_Flag
2023-08-12,2023-08-27,3343.0,111.0,0.0,48.0,8.0,194.0,3204.0,MSI_ARTHA_GADING_MEN,16,3204.0,0.0,0.0,2023,8,3,32,MSI_Store,False,False,False
2023-08-28,2023-10-01,3204.0,543.0,0.0,0.0,4.0,390.0,3353.0,MSI_ARTHA_GADING_MEN,35,3353.0,0.0,0.0,2023,8,3,35,MSI_Store,False,False,False
2023-10-02,2023-10-29,3353.0,290.0,0.0,0.0,46.0,328.0,3269.0,MSI_ARTHA_GADING_MEN,28,3269.0,0.0,0.0,2023,10,4,40,MSI_Store,False,False,False
2023-10-30,2023-11-30,3269.0,676.0,0.0,0.0,0.0,415.0,3530.0,MSI_ARTHA_GADING_MEN,32,3530.0,0.0,0.0,2023,10,4,44,MSI_Store,False,False,False
2023-12-01,2023-12-31,3530.0,590.0,0.0,0.0,0.0,746.0,3374.0,MSI_ARTHA_GADING_MEN,31,3374.0,0.0,0.0,2023,12,4,48,MSI_Store,False,False,False
2024-01-01,2024-01-28,3374.0,718.0,3.0,0.0,0.0,604.0,3491.0,MSI_ARTHA_GADING_MEN,28,3491.0,0.0,0.0,2024,1,1,1,MSI_Store,False,False,False
2024-01-29,2024-02-25,3491.0,882.0,0.0,4.0,295.0,378.0,3696.0,MSI_ARTHA_GADING_MEN,28,3696.0,0.0,0.0,2024,1,1,5,MSI_Store,False,False,False
2024-02-26,2024-03-31,3696.0,815.0,0.0,0.0,3.0,814.0,3694.0,MSI_ARTHA_GADING_MEN,35,3694.0,0.0,0.0,2024,2,1,9,MSI_Store,False,False,False
2024-04-01,2024-04-28,3694.0,187.0,0.0,0.0,0.0,668.0,3213.0,MSI_ARTHA_GADING_MEN,28,3213.0,0.0,0.0,2024,4,2,14,MSI_Store,False,False,False
2024-04-29,2024-05-26,3213.0,66.0,0.0,0.0,2.0,320.0,2957.0,MSI_ARTHA_GADING_MEN,28,2957.0,0.0,0.0,2024,4,2,18,MSI_Store,False,False,False
2024-05-27,2024-06-30,2957.0,1269.0,0.0,0.0,0.0,565.0,3661.0,MSI_ARTHA_GADING_MEN,35,3661.0,0.0,0.0,2024,5,2,22,MSI_Store,False,False,False
2024-07-01,2024-07-28,3661.0,603.0,0.0,0.0,0.0,450.0,3814.0,MSI_ARTHA_GADING_MEN,28,3814.0,0.0,0.0,2024,7,3,27,MSI_Store,False,False,False
2024-07-29,2024-08-26,3814.0,170.0,0.0,0.0,387.0,292.0,3305.0,MSI_ARTHA_GADING_MEN,29,3305.0,0.0,0.0,2024,7,3,31,MSI_Store,False,False,False
2024-08-26,2024-09-11,3305.0,425.0,0.0,0.0,0.0,185.0,3545.0,MSI_ARTHA_GADING_MEN,17,3545.0,0.0,0.0,2024,8,3,35,MSI_Store,False,False,False
2023-08-16,2023-08-27,2531.0,17.0,0.0,0.0,6.0,68.0,2474.0,SOGO_CENTRAL_PARK,12,2474.0,0.0,0.0,2023,8,3,33,SOGO_Store,False,False,False
2023-08-28,2023-10-01,2474.0,258.0,0.0,8.0,0.0,159.0,2565.0,SOGO_CENTRAL_PARK,35,2565.0,0.0,0.0,2023,8,3,35,SOGO_Store,False,False,False
2023-10-02,2023-10-29,2565.0,77.0,0.0,0.0,0.0,120.0,2522.0,SOGO_CENTRAL_PARK,28,2522.0,0.0,0.0,2023,10,4,40,SOGO_Store,False,False,False
2023-10-30,2023-11-30,2522.0,151.0,0.0,0.0,6.0,170.0,2497.0,SOGO_CENTRAL_PARK,32,2497.0,0.0,0.0,2023,10,4,44,SOGO_Store,False,False,False
2023-12-01,2023-12-31,2497.0,549.0,0.0,8.0,0.0,442.0,2596.0,SOGO_CENTRAL_PARK,31,2596.0,0.0,0.0,2023,12,4,48,SOGO_Store,False,False,False
2024-01-01,2024-01-28,2596.0,414.0,3.0,6.0,0.0,412.0,2595.0,SOGO_CENTRAL_PARK,28,2595.0,0.0,0.0,2024,1,1,1,SOGO_Store,False,False,False
2024-01-29,2024-02-25,2595.0,434.0,7.0,2.0,381.0,193.0,2460.0,SOGO_CENTRAL_PARK,28,2460.0,0.0,0.0,2024,1,1,5,SOGO_Store,False,False,False
2024-02-26,2024-03-31,2460.0,947.0,0.0,3.0,0.0,209.0,3195.0,SOGO_CENTRAL_PARK,35,3195.0,0.0,0.0,2024,2,1,9,SOGO_Store,False,False,False
2024-04-01,2024-04-28,3195.0,155.0,0.0,0.0,0.0,241.0,3109.0,SOGO_CENTRAL_PARK,28,3109.0,0.0,0.0,2024,4,2,14,SOGO_Store,False,False,False
2024-04-29,2024-05-26,3109.0,179.0,0.0,0.0,415.0,148.0,2725.0,SOGO_CENTRAL_PARK,28,2725.0,0.0,0.0,2024,4,2,18,SOGO_Store,False,False,False
2024-05-27,2024-06-30,2725.0,266.0,3.0,6.0,0.0,325.0,2663.0,SOGO_CENTRAL_PARK,35,2663.0,0.0,0.0,2024,5,2,22,SOGO_Store,False,False,False
2024-07-01,2024-07-28,2663.0,171.0,0.0,4.0,0.0,264.0,2566.0,SOGO_CENTRAL_PARK,28,2566.0,0.0,0.0,2024,7,3,27,SOGO_Store,False,False,False
2024-07-29,2024-08-25,2566.0,78.0,0.0,0.0,669.0,131.0,1844.0,SOGO_CENTRAL_PARK,28,1844.0,0.0,0.0,2024,7,3,31,SOGO_Store,False,False,False
2024-08-26,2024-09-03,1844.0,139.0,0.0,0.0,0.0,41.0,1942.0,SOGO_CENTRAL_PARK,9,1942.0,0.0,0.0,2024,8,3,35,SOGO_Store,False,False,False
2023-08-10,2023-08-27,2170.0,1018.0,3032.0,3081.0,4.0,264.0,2871.0,MSI_ATRIUM_PLAZA,18,2871.0,0.0,0.0,2023,8,3,32,MSI_Store,False,False,False
2023-08-28,2023-10-01,2871.0,475.0,0.0,0.0,0.0,632.0,2714.0,MSI_ATRIUM_PLAZA,35,2714.0,0.0,0.0,2023,8,3,35,MSI_Store,False,False,False
2023-10-02,2023-10-29,2714.0,507.0,0.0,5.0,6.0,445.0,2765.0,MSI_ATRIUM_PLAZA,28,2765.0,0.0,0.0,2023,10,4,40,MSI_Store,False,False,False
2023-10-30,2023-11-30,2765.0,823.0,0.0,0.0,0.0,699.0,2889.0,MSI_ATRIUM_PLAZA,32,2889.0,0.0,0.0,2023,10,4,44,MSI_Store,False,False,False
2023-12-01,2023-12-31,2889.0,886.0,0.0,0.0,0.0,1032.0,2743.0,MSI_ATRIUM_PLAZA,31,2743.0,0.0,0.0,2023,12,4,48,MSI_Store,False,False,False
2024-01-01,2024-01-28,2743.0,1062.0,1.0,2.0,0.0,750.0,3054.0,MSI_ATRIUM_PLAZA,28,3054.0,0.0,0.0,2024,1,1,1,MSI_Store,False,False,False
2024-01-29,2024-02-25,3054.0,1240.0,7.0,0.0,210.0,437.0,3654.0,MSI_ATRIUM_PLAZA,28,3654.0,0.0,0.0,2024,1,1,5,MSI_Store,False,False,False
2024-02-26,2024-03-31,3654.0,1249.0,0.0,0.0,0.0,1473.0,3430.0,MSI_ATRIUM_PLAZA,35,3430.0,0.0,0.0,2024,2,1,9,MSI_Store,False,False,False
2024-04-01,2024-04-28,3430.0,257.0,0.0,0.0,0.0,1002.0,2685.0,MSI_ATRIUM_PLAZA,28,2685.0,0.0,0.0,2024,4,2,14,MSI_Store,False,False,False
2024-04-29,2024-05-26,2685.0,490.0,0.0,0.0,6.0,664.0,2505.0,MSI_ATRIUM_PLAZA,28,2505.0,0.0,0.0,2024,4,2,18,MSI_Store,False,False,False
2024-05-27,2024-06-30,2505.0,1065.0,3.0,4.0,1.0,924.0,2644.0,MSI_ATRIUM_PLAZA,35,2644.0,0.0,0.0,2024,5,2,22,MSI_Store,False,False,False
2024-07-01,2024-07-28,2644.0,694.0,88.0,19.0,0.0,858.0,2549.0,MSI_ATRIUM_PLAZA,28,2549.0,0.0,0.0,2024,7,3,27,MSI_Store,False,False,False
2024-07-29,2024-08-26,2549.0,392.0,0.0,0.0,278.0,616.0,2047.0,MSI_ATRIUM_PLAZA,29,2047.0,0.0,0.0,2024,7,3,31,MSI_Store,False,False,False
2024-08-26,2024-09-11,2047.0,2180.0,84.0,0.0,0.0,338.0,3973.0,MSI_ATRIUM_PLAZA,17,3973.0,0.0,0.0,2024,8,3,35,MSI_Store,False,False,False
2023-10-06,2023-10-29,1312.0,0.0,0.0,0.0,0.0,129.0,1183.0,MSI_CIBINONG_CITY_MALL,24,1183.0,0.0,0.0,2023,10,4,40,MSI_Store,False,False,False
2023-10-30,2023-11-30,1183.0,320.0,0.0,0.0,0.0,164.0,1339.0,MSI_CIBINONG_CITY_MALL,32,1339.0,0.0,0.0,2023,10,4,44,MSI_Store,False,False,False
2023-12-01,2023-12-31,1339.0,706.0,0.0,0.0,0.0,231.0,1814.0,MSI_CIBINONG_CITY_MALL,31,1814.0,0.0,0.0,2023,12,4,48,MSI_Store,False,False,False
2024-01-01,2024-01-28,1814.0,422.0,0.0,0.0,0.0,228.0,2008.0,MSI_CIBINONG_CITY_MALL,28,2008.0,0.0,0.0,2024,1,1,1,MSI_Store,False,False,False
2024-01-29,2024-02-25,2008.0,380.0,0.0,5.0,387.0,157.0,1839.0,MSI_CIBINONG_CITY_MALL,28,1839.0,0.0,0.0,2024,1,1,5,MSI_Store,False,False,False
2024-02-26,2024-03-31,1839.0,633.0,0.0,0.0,0.0,432.0,2040.0,MSI_CIBINONG_CITY_MALL,35,2040.0,0.0,0.0,2024,2,1,9,MSI_Store,False,False,False
2024-04-01,2024-04-28,2040.0,241.0,0.0,0.0,0.0,435.0,1846.0,MSI_CIBINONG_CITY_MALL,28,1846.0,0.0,0.0,2024,4,2,14,MSI_Store,False,False,False
2024-04-29,2024-05-26,1846.0,12.0,0.0,0.0,10.0,153.0,1695.0,MSI_CIBINONG_CITY_MALL,28,1695.0,0.0,0.0,2024,4,2,18,MSI_Store,False,False,False
2024-05-27,2024-06-30,1695.0,303.0,0.0,0.0,0.0,270.0,1728.0,MSI_CIBINONG_CITY_MALL,35,1728.0,0.0,0.0,2024,5,2,22,MSI_Store,False,False,False
2024-07-01,2024-07-28,1728.0,311.0,15.0,0.0,0.0,229.0,1825.0,MSI_CIBINONG_CITY_MALL,28,1825.0,0.0,0.0,2024,7,3,27,MSI_Store,False,False,False
2024-07-29,2024-08-25,1825.0,0.0,22.0,0.0,264.0,162.0,1421.0,MSI_CIBINONG_CITY_MALL,28,1421.0,0.0,0.0,2024,7,3,31,MSI_Store,False,False,False
2024-08-26,2024-09-05,1417.0,147.0,0.0,0.0,0.0,59.0,1505.0,MSI_CIBINONG_CITY_MALL,11,1505.0,0.0,0.0,2024,8,3,35,MSI_Store,False,False,False
2023-08-16,2023-08-27,3112.0,25.0,0.0,25.0,0.0,94.0,3018.0,MSI_TAMAN_ANGGREK,12,3018.0,0.0,0.0,2023,8,3,33,MSI_Store,False,False,False
2023-08-28,2023-10-01,3018.0,300.0,0.0,0.0,2.0,303.0,3013.0,MSI_TAMAN_ANGGREK,35,3013.0,0.0,0.0,2023,8,3,35,MSI_Store,False,False,False
2023-10-02,2023-10-29,3013.0,372.0,84.0,0.0,23.0,327.0,3119.0,MSI_TAMAN_ANGGREK,28,3119.0,0.0,0.0,2023,10,4,40,MSI_Store,False,False,False
2023-10-30,2023-11-30,3119.0,567.0,0.0,10.0,0.0,234.0,3442.0,MSI_TAMAN_ANGGREK,32,3442.0,0.0,0.0,2023,10,4,44,MSI_Store,False,False,False
2023-12-01,2023-12-31,3442.0,550.0,0.0,0.0,0.0,604.0,3388.0,MSI_TAMAN_ANGGREK,31,3388.0,0.0,0.0,2023,12,4,48,MSI_Store,False,False,False
2024-01-01,2024-01-28,3388.0,548.0,7.0,0.0,0.0,556.0,3387.0,MSI_TAMAN_ANGGREK,28,3387.0,0.0,0.0,2024,1,1,1,MSI_Store,False,False,False
2024-01-29,2024-02-25,3387.0,664.0,3.0,0.0,238.0,295.0,3521.0,MSI_TAMAN_ANGGREK,28,3521.0,0.0,0.0,2024,1,1,5,MSI_Store,False,False,False
2024-02-26,2024-03-31,3521.0,947.0,1.0,0.0,0.0,417.0,4052.0,MSI_TAMAN_ANGGREK,35,4052.0,0.0,0.0,2024,2,1,9,MSI_Store,False,False,False
2024-04-01,2024-04-28,4052.0,86.0,0.0,27.0,0.0,329.0,3782.0,MSI_TAMAN_ANGGREK,28,3782.0,0.0,0.0,2024,4,2,14,MSI_Store,False,False,False
2024-04-29,2024-05-26,3782.0,71.0,0.0,0.0,565.0,239.0,3049.0,MSI_TAMAN_ANGGREK,28,3049.0,0.0,0.0,2024,4,2,18,MSI_Store,False,False,False
2024-05-27,2024-06-30,3049.0,574.0,1.0,6.0,0.0,447.0,3171.0,MSI_TAMAN_ANGGREK,35,3171.0,0.0,0.0,2024,5,2,22,MSI_Store,False,False,False
2024-07-01,2024-07-28,3171.0,299.0,0.0,0.0,0.0,414.0,3056.0,MSI_TAMAN_ANGGREK,28,3056.0,0.0,0.0,2024,7,3,27,MSI_Store,False,False,False
2024-07-29,2024-08-25,3056.0,123.0,0.0,0.0,376.0,230.0,2573.0,MSI_TAMAN_ANGGREK,28,2573.0,0.0,0.0,2024,7,3,31,MSI_Store,False,False,False
2024-08-26,2024-09-09,2573.0,494.0,0.0,0.0,0.0,110.0,2957.0,MSI_TAMAN_ANGGREK,15,2957.0,0.0,0.0,2024,8,3,35,MSI_Store,False,False,False
2024-02-26,2024-03-31,0.0,0.0,1979.0,0.0,0.0,26.0,1953.0,SOGO_KARAWACI_LADIES,35,1953.0,0.0,0.0,2024,2,1,9,SOGO_Store,False,False,False
2024-04-01,2024-04-28,1953.0,24.0,0.0,0.0,0.0,109.0,1868.0,SOGO_KARAWACI_LADIES,28,1868.0,0.0,0.0,2024,4,2,14,SOGO_Store,False,False,False
2024-04-29,2024-05-26,1868.0,30.0,68.0,0.0,417.0,29.0,1520.0,SOGO_KARAWACI_LADIES,28,1520.0,0.0,0.0,2024,4,2,18,SOGO_Store,False,False,False
2024-05-27,2024-06-30,1520.0,91.0,0.0,0.0,0.0,142.0,1469.0,SOGO_KARAWACI_LADIES,35,1469.0,0.0,0.0,2024,5,2,22,SOGO_Store,False,False,False
2024-07-01,2024-07-28,1469.0,187.0,0.0,0.0,0.0,180.0,1476.0,SOGO_KARAWACI_LADIES,28,1476.0,0.0,0.0,2024,7,3,27,SOGO_Store,False,False,False
2024-07-29,2024-08-25,1476.0,393.0,0.0,0.0,591.0,41.0,1237.0,SOGO_KARAWACI_LADIES,28,1237.0,0.0,0.0,2024,7,3,31,SOGO_Store,False,False,False
2024-08-26,2024-09-03,1237.0,282.0,0.0,0.0,0.0,6.0,1513.0,SOGO_KARAWACI_LADIES,9,1513.0,0.0,0.0,2024,8,3,35,SOGO_Store,False,False,False
2023-08-16,2023-08-27,2510.0,14.0,0.0,0.0,9.0,84.0,2431.0,SOGO_MKG_MENS,12,2431.0,0.0,0.0,2023,8,3,33,SOGO_Store,False,False,False
2023-08-28,2023-09-01,2431.0,167.0,0.0,29.0,0.0,208.0,2361.0,SOGO_MKG_MENS,5,2361.0,0.0,0.0,2023,8,3,35,SOGO_Store,False,False,False
2023-10-02,2023-10-29,2361.0,232.0,0.0,0.0,0.0,173.0,2420.0,SOGO_MKG_MENS,28,2420.0,0.0,0.0,2023,10,4,40,SOGO_Store,False,False,False
2023-10-30,2023-11-30,2420.0,129.0,0.0,0.0,0.0,212.0,2337.0,SOGO_MKG_MENS,32,2337.0,0.0,0.0,2023,10,4,44,SOGO_Store,False,False,False
2023-12-01,2023-12-31,2337.0,571.0,10.0,12.0,0.0,500.0,2406.0,SOGO_MKG_MENS,31,2406.0,0.0,0.0,2023,12,4,48,SOGO_Store,False,False,False
2024-01-01,2024-01-28,2406.0,586.0,0.0,0.0,0.0,420.0,2572.0,SOGO_MKG_MENS,28,2572.0,0.0,0.0,2024,1,1,1,SOGO_Store,False,False,False
2024-01-29,2024-02-25,2572.0,418.0,0.0,0.0,318.0,204.0,2468.0,SOGO_MKG_MENS,28,2468.0,0.0,0.0,2024,1,1,5,SOGO_Store,False,False,False
2024-02-26,2024-03-31,2468.0,1051.0,0.0,0.0,0.0,436.0,3083.0,SOGO_MKG_MENS,35,3083.0,0.0,0.0,2024,2,1,9,SOGO_Store,False,False,False
2024-04-01,2024-04-28,3083.0,159.0,3.0,0.0,0.0,417.0,2828.0,SOGO_MKG_MENS,28,2828.0,0.0,0.0,2024,4,2,14,SOGO_Store,False,False,False
2024-04-29,2024-05-26,2828.0,107.0,0.0,0.0,327.0,200.0,2408.0,SOGO_MKG_MENS,28,2408.0,0.0,0.0,2024,4,2,18,SOGO_Store,False,False,False
2024-05-27,2024-06-30,2408.0,612.0,1.0,1.0,0.0,397.0,2623.0,SOGO_MKG_MENS,35,2623.0,0.0,0.0,2024,5,2,22,SOGO_Store,False,False,False
2024-07-01,2024-07-28,2623.0,414.0,0.0,1.0,0.0,349.0,2687.0,SOGO_MKG_MENS,28,2687.0,0.0,0.0,2024,7,3,27,SOGO_Store,False,False,False
2024-07-29,2024-08-25,2687.0,114.0,0.0,0.0,302.0,225.0,2274.0,SOGO_MKG_MENS,28,2274.0,0.0,0.0,2024,7,3,31,SOGO_Store,False,False,False
2024-08-26,2024-09-03,2274.0,232.0,0.0,0.0,0.0,61.0,2445.0,SOGO_MKG_MENS,9,2445.0,0.0,0.0,2024,8,3,35,SOGO_Store,False,False,False
2023-07-25,2023-07-30,2227.0,50.0,0.0,0.0,0.0,19.0,2258.0,GALERIES_LAFAYETTE,6,2258.0,0.0,0.0,2023,7,3,30,GALERIES_Store,False,False,False
2023-07-31,2023-08-27,2258.0,240.0,1.0,1.0,130.0,85.0,2283.0,GALERIES_LAFAYETTE,28,2283.0,0.0,0.0,2023,7,3,31,GALERIES_Store,False,False,False
2023-08-28,2023-10-01,2283.0,200.0,0.0,4.0,0.0,154.0,2325.0,GALERIES_LAFAYETTE,35,2325.0,0.0,0.0,2023,8,3,35,GALERIES_Store,False,False,False
2023-10-02,2023-10-29,2325.0,86.0,0.0,0.0,0.0,116.0,2295.0,GALERIES_LAFAYETTE,28,2295.0,0.0,0.0,2023,10,4,40,GALERIES_Store,False,False,False
2023-10-30,2023-11-30,2295.0,64.0,3.0,0.0,0.0,115.0,2247.0,GALERIES_LAFAYETTE,32,2247.0,0.0,0.0,2023,10,4,44,GALERIES_Store,False,False,False
2023-12-01,2023-12-31,2247.0,227.0,48.0,0.0,0.0,352.0,2170.0,GALERIES_LAFAYETTE,31,2170.0,0.0,0.0,2023,12,4,48,GALERIES_Store,False,False,False
2024-01-01,2024-01-28,2170.0,407.0,16.0,1.0,0.0,363.0,2229.0,GALERIES_LAFAYETTE,28,2229.0,0.0,0.0,2024,1,1,1,GALERIES_Store,False,False,False
2024-01-29,2024-02-25,2229.0,310.0,1.0,0.0,587.0,92.0,1861.0,GALERIES_LAFAYETTE,28,1861.0,0.0,0.0,2024,1,1,5,GALERIES_Store,False,False,False
2024-02-26,2024-03-31,1861.0,366.0,7.0,0.0,0.0,161.0,2073.0,GALERIES_LAFAYETTE,35,2073.0,0.0,0.0,2024,2,1,9,GALERIES_Store,False,False,False
2024-04-01,2024-04-28,2073.0,96.0,0.0,0.0,0.0,149.0,2020.0,GALERIES_LAFAYETTE,28,2020.0,0.0,0.0,2024,4,2,14,GALERIES_Store,False,False,False
2024-04-29,2024-05-26,2020.0,34.0,0.0,0.0,0.0,78.0,1976.0,GALERIES_LAFAYETTE,28,1976.0,0.0,0.0,2024,4,2,18,GALERIES_Store,False,False,False
2024-05-27,2024-06-30,1976.0,173.0,1.0,1.0,0.0,171.0,1978.0,GALERIES_LAFAYETTE,35,1978.0,0.0,0.0,2024,5,2,22,GALERIES_Store,False,False,False
2024-07-01,2024-07-28,1978.0,205.0,6.0,3.0,0.0,156.0,2030.0,GALERIES_LAFAYETTE,28,2030.0,0.0,0.0,2024,7,3,27,GALERIES_Store,False,False,False
2024-07-29,2024-08-25,2030.0,0.0,0.0,0.0,471.0,71.0,1488.0,GALERIES_LAFAYETTE,28,1488.0,0.0,0.0,2024,7,3,31,GALERIES_Store,False,False,False
2024-08-27,2024-09-04,1488.0,173.0,0.0,0.0,0.0,42.0,1619.0,GALERIES_LAFAYETTE,9,1619.0,0.0,0.0,2024,8,3,35,GALERIES_Store,False,False,False
